0	10000
493	9558
593	9127
587	8775
636	8413
709	8078
701	7764
758	7486
733	7203
803	6957
814	6696
831	6434
786	6212
790	5935
816	5706
815	5451
802	5207
817	4978
776	4720
780	4489
809	4295
740	4093
766	3863
0	10000
423	9625
474	9279
524	8962
552	8665
532	8388
600	8126
638	7867
667	7603
602	7375
721	7138
697	6913
675	6690
675	6468
674	6263
677	6046
673	5835
655	5636
683	5443
624	5281
649	5095
648	4905
615	4706
626	4517
0	10000
399	9648
461	9308
521	8983
552	8672
570	8399
616	8107
642	7848
710	7568
677	7312
659	7078
684	6852
673	6636
650	6409
702	6184
675	5983
690	5804
652	5611
685	5415
653	5198
588	5005
0	10000
548	9516
606	9071
687	8675
743	8258
793	7891
823	7551
0	10000
508	9557
604	9132
644	8728
669	8368
718	8047
781	7709
786	7385
805	7069
876	6780
0	10000
596	9472
672	9000
707	8586
778	8171
807	7790
875	7419
900	7075
923	6752
934	6473
936	6180
967	5891
953	5600
1016	5321
0	10000
585	9478
619	9025
720	8580
795	8157
765	7816
809	7486
806	7152
845	6847
913	6552
915	6269
901	6009
881	5775
913	5494
890	5220
912	4980
888	4723
853	4477
0	10000
616	9452
688	8962
782	8505
795	8077
916	7666
931	7321
891	7009
907	6704
917	6391
972	6079
921	5790
945	5519
988	5235
1006	4958
0	10000
476	9585
551	9193
610	8814
634	8474
720	8112
724	7828
742	7523
785	7216
818	6943
785	6686
809	6435
795	6214
783	5974
816	5736
787	5519
0	10000
537	9517
630	9046
685	8632
745	8245
773	7897
812	7554
842	7256
821	6961
889	6661
0	10000
583	9485
662	9023
775	8566
859	8122
851	7729
908	7336
934	7004
991	6665
988	6349
962	6038
1006	5721
1005	5424
1043	5143
1030	4853
974	4565
1020	4284
1014	3998
0	10000
440	9605
514	9237
589	8860
619	8518
689	8178
713	7869
698	7601
710	7317
722	7094
737	6847
762	6601
722	6382
